id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
103650,diplomacy,Diplomacy,,2016-12-13,False,2019-01-09T12:41:06,,0.0,0,0,0,0,139,0,0,PC||macOS||Linux||Android||Web,HoraceRIBOUT,Strategy,,,0,0,0,0,0,0
103651,take-that-ya-lousy-dimension,"Take That, Ya Lousy Dimension!",,2016-01-06,False,2019-01-09T12:41:06,,0.0,0,0,0,0,124,0,0,PC,Liam Gibbons,,,,0,0,0,0,0,0
103652,heck-deck,Heck Deck,,2018-04-23,False,2019-01-09T12:41:06,,0.0,0,0,0,0,45,0,0,Web,torcado,,,,0,0,0,0,0,0
103653,life-is-strange-all-wounds,Life is Strange: All Wounds (itch),,2018-07-12,False,2019-01-29T12:41:28,,0.0,0,0,0,1,225,0,1,PC,Destiny-Smasher,,,,0,0,0,0,1,0
103655,pizza-quest,Pizza Quest,,2016-02-15,False,2019-01-09T12:41:06,,0.0,0,0,0,0,29,0,0,PC||macOS,TeamLazerBeam,Adventure,,,0,0,0,0,0,0
103656,pico-wars,Pico Wars,,2018-03-10,False,2019-08-28T23:24:52,,0.0,0,0,0,0,64,0,0,PC||macOS||Linux||Web,Caaz,Strategy,,,0,0,0,0,0,0
103657,life-in-jar,Life in Jar,,2017-10-11,False,2019-01-09T12:41:06,,0.0,0,0,0,0,194,0,0,PC,Simple Ghost,Strategy,,,0,0,0,0,0,0
103658,dome-king-cabbage-demo,Dome-King Cabbage (Demo),,2017-05-07,False,2019-01-09T12:41:06,,0.0,0,0,0,0,52,0,0,PC,Cobysoft Co.,,,,0,0,0,0,0,0
103659,lobsterbotomy,Lobsterbotomy,,2016-12-13,False,2019-01-09T12:41:06,,0.0,0,0,0,0,9,0,0,PC||macOS||Web,FriendlyFrog||WVUGameDevelopers||Proud Mom Games||Ryan Kubik||Hallow Games,Action||RPG,,,0,0,0,0,0,0
10366,gloria-victis,Gloria Victis,,2016-06-09,False,2019-09-17T09:32:05,http://www.gloriavictisgame.com,2.78,3,6,87,9,640,0,9,PC,Black Eye Games,Action||RPG||Massively Multiplayer||Indie,Black Eye Games,,5,183,0,0,3,0
103660,ghosts-in-the-shortwave,Ghosts in the Shortwave,,2018-01-28,False,2019-01-09T12:41:06,,0.0,0,0,0,0,39,0,0,PC||macOS||Linux,Heather Robertson,Platformer,,,0,0,0,0,0,0
103661,werewolf-village-attack,Werewolf Village Attack,,2017-12-05,False,2019-01-09T12:41:06,,0.0,0,0,0,0,62,0,0,PC||Linux,HuteStudios,Action,,,0,0,0,0,0,0
103662,hide-the-porn,Hide The Porn,,2017-02-19,False,2019-01-09T12:41:06,,0.0,0,0,0,0,64,0,0,PC,Dansodic,Adventure,,,0,2,0,0,0,0
103663,amethyst-horologist-radical-archaeologist,"Amethyst Horologist, Radical Archaeologist",,2018-03-27,False,2019-08-28T23:24:52,,0.0,0,0,0,0,21,0,0,Web,cephalopodunk,Simulation,,,0,0,0,0,0,0
103664,chris-edward-a-mansao,Chris Edward: A Mansão,,2017-05-29,False,2019-01-09T12:41:06,,0.0,0,0,0,0,255,0,0,PC,Ebygor Studio,Adventure,,,0,0,0,0,0,0
103665,protect-thy-sphere-thingy,Protect Thy Sphere thingy,,2015-05-15,False,2019-01-09T12:41:06,,0.0,0,0,0,0,42,0,0,PC||macOS||Linux,IronBoundManzer,Shooter,,,0,0,0,0,0,0
103666,boxcar-brats,Boxcar Brats,,2014-05-30,False,2019-08-28T23:28:17,,0.0,0,0,0,0,62,0,0,PC,capy_ken,Racing,,,0,0,0,0,0,0
103667,violet,Violet,,2014-11-20,False,2019-01-09T12:41:06,,0.0,0,0,0,0,34,0,0,PC,Daniel Linssen,Platformer,,,0,0,0,0,0,0
103668,sleepless-surrender,Sleepless Surrender,,2017-09-24,False,2019-01-09T12:41:06,,0.0,0,0,0,0,66,0,0,PC,Stanza Creative Circle||Mansourrj,,,,0,0,0,0,0,0
103669,resthouse3-latest-free-version,RestHouse3 latest free version,,2015-08-13,False,2019-01-09T12:41:06,,0.0,0,0,0,0,192,0,0,PC||macOS||Linux||Android||Web,studio Don Quixote,Adventure,,,0,0,0,0,0,0
10367,skara-the-blade-remains,Skara - The Blade Remains,,2014-10-27,False,2019-09-17T05:29:28,http://playskara.com/,1.8,1,3,0,15,405,0,15,PC,8-Bit Studio,Action||RPG||Indie,8-Bit Studio,,17,444,2,0,4,0
103670,teach-english-in-japan-vol-2,Teach English In Japan vol 2,,2018-02-19,False,2019-01-09T12:41:06,,0.0,0,0,0,0,44,0,0,PC||macOS||Linux||Android,Jeff Ellis,,,,0,1,0,0,0,0
103671,hunger-shark,Hunger Shark,,2014-04-28,False,2019-08-28T23:24:52,,0.0,0,0,0,0,16,0,0,PC,LuckyCassette,Action,,,0,0,0,0,0,0
103672,counterweight-kate,Counterweight Kate,,2018-03-25,False,2019-01-09T12:41:06,,0.0,0,0,0,0,52,0,0,PC,CogitareComputing,Platformer,,,0,0,0,0,0,0
103673,qwq-qawqa3a,قوقعة - QAWQA3A,,2018-08-19,False,2019-01-09T12:41:06,,0.0,0,0,0,0,141,0,0,PC||macOS||Android||Web,Sham Bdour,Adventure,,,0,0,0,0,0,0
103674,brians-high-velocity-research-center,Brian's High Velocity Research Center,,2016-11-27,False,2019-01-09T12:41:06,,0.0,0,0,0,0,163,0,0,PC,zulubo,,,,0,0,0,0,0,0
103675,who-do-you-think-you-are-demo-10,Who Do You Think You Are? (DEMO 1.0),,2016-01-17,False,2019-01-09T12:41:06,,0.0,0,0,0,0,161,0,0,PC,âœŽ Grim,,,,0,0,0,0,0,0
103676,a-knight-never-yields,A Knight Never Yields,,2017-04-09,False,2019-01-09T12:41:06,,0.0,0,0,0,0,246,0,0,PC,Nut Cracks Studio,Platformer,,,0,0,0,0,0,0
103677,cartas,Cartas,,2016-02-13,False,2019-01-09T12:41:06,,0.0,0,0,0,0,61,0,0,PC||macOS,Julian Palacios,,,,0,0,0,0,0,0
103678,blues-for-mittavinda,Blues For Mittavinda,,2015-11-05,False,2019-01-09T12:41:06,,0.0,0,0,0,2,29,0,2,PC,jackspinoza,,,,0,0,2,0,0,0
103679,furry-2-remake,Furry 2 Remake,,2014-04-04,False,2019-01-09T12:41:06,,0.0,0,0,0,0,205,0,0,PC,Dustin Gunn,Platformer,,,0,0,0,0,0,0
10368,the-wardrobe,The Wardrobe,72,2017-02-15,False,2019-10-23T14:57:04,http://www.thewardrobegame.com/,3.14,4,3,46,7,319,0,7,macOS||PC||Nintendo Switch||PlayStation 4,MixedBag||C.I.N.I.C. Games,Adventure,Adventure Productions||MixedBag,Mature,0,36,6,6,0,1
103680,tetris-runner,Tetris Runner,,2016-01-20,False,2019-01-09T12:41:06,,0.0,0,0,0,0,108,0,0,PC,Wolderado,,,,0,0,0,0,0,0
103681,from-whence-it-came,From Whence it Came,,2014-01-31,False,2019-01-09T12:41:06,,0.0,0,0,0,0,75,0,0,PC||macOS||Linux,hoodie,Shooter,,,0,0,0,0,0,0
103682,space-nuts,Space Nuts,,2016-11-23,False,2019-01-09T12:41:06,,0.0,0,0,0,0,30,0,0,PC||macOS||Linux||Android||Web,rapter,,,,0,0,0,0,0,0
103683,sneak-95,Sneak '95,,2018-02-04,False,2019-01-09T12:41:06,,0.0,0,0,0,0,48,0,0,Web,Team Sneaky,Puzzle,,,0,0,0,0,0,0
103684,effigy,Effigy,,2016-03-08,False,2019-01-09T12:41:06,,0.0,0,0,0,0,87,0,0,PC||macOS,Patchwork Doll Games,,,,0,0,0,0,0,0
103685,catch-the-crown,Catch the Crown!,,2017-05-13,False,2019-08-28T23:24:52,,0.0,0,0,0,0,181,0,0,PC||macOS||Linux,Nodragem,Platformer,,,0,0,0,0,0,0
103686,statistically-improbable,Statistically Improbable,,2018-05-12,False,2019-01-09T12:41:06,,0.0,0,0,0,0,15,0,0,Web,Mitch Andrews,Action,,,0,0,0,0,0,0
103687,shadow-clone-sheep,Shadow Clone Sheep,,2018-04-08,False,2019-08-28T23:24:52,,0.0,0,0,0,0,125,0,0,PC||macOS||Web,Davi Fox,Platformer,,,0,0,0,0,0,0
103688,10-gnomes-in-dubrovnik,10 Gnomes in Dubrovnik,,2017-02-14,False,2019-01-09T12:41:06,,0.0,0,0,0,0,46,0,0,PC||macOS||Linux,Mateusz Skutnik,Puzzle,,,0,0,0,0,0,0
103689,american-mare,American Mare,,2018-08-06,False,2019-08-28T23:24:52,,0.0,0,0,0,0,99,0,0,PC,HeartLamp,Action||Fighting,,,0,0,0,0,0,0
10369,bloody-walls,Bloody Walls,,2016-09-28,False,2019-09-17T07:18:22,,2.84,3,1,9,25,62,0,25,PC,L. Stotch,Action||Indie,L. Stotch,,9,259,8,0,11,1
103691,petris-ld-42,Petris (LD #42),,2018-08-12,False,2019-01-09T12:41:06,,0.0,0,0,0,0,69,0,0,PC||Web,JoshyOshKenoshi,Puzzle,,,0,0,0,0,0,0
